TIME,GEO,UNIT,INDX,COICOP,Value,Flag and Footnotes
2015M01,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"99,7",
2015M02,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,13",
2015M03,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,11",
2015M04,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,47",
2015M05,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,68",
2015M06,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,17",
2015M07,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"99,35",
2015M08,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"99,33",
2015M09,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"99,79",
2015M10,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,25",
2015M11,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,15",
2015M12,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"99,88",
2016M01,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,13",
2016M02,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,24",
2016M03,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,47",
2016M04,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,69",
2016M05,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,93",
2016M06,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,7",
2016M07,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,64",
2016M08,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,51",
2016M09,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,1",
2016M10,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,21",
2016M11,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,65",
2016M12,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"101,22",
2017M01,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"102,21",
2017M02,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"103,21",
2017M03,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"102,49",
2017M04,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"102,34",
2017M05,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"102,68",
2017M06,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"102,4",
2017M07,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"102,31",
2017M08,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"102,18",
2017M09,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"102,4",
2017M10,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"103,19",
2017M11,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"103,46",
2017M12,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"103,75",
2018M01,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"104,38",
2018M02,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"104,23",
2018M03,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"104,36",
2018M04,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"104,57",
2018M05,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"105,09",
2018M06,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"104,9",
2018M07,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"104,43",
2018M08,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"104,31",
2018M09,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"104,81",
2018M10,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"105,02",
2018M11,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"104,88",
2018M12,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"105,21",
2019M01,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,106,
2019M02,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"106,56",
2019M03,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"106,38",
2019M04,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"106,49",
2019M05,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"107,2",
2019M06,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"107,21",
2019M07,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"107,29",
2019M08,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"107,36",
2019M09,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"107,03",
2019M10,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"107,21",
2019M11,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"107,56",
2019M12,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"107,99",
2020M01,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"108,93",
2020M02,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"109,53",
2020M03,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"109,89",
2020M04,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"111,32",
2020M05,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"111,6",
2020M06,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"111,16",
2020M07,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"109,76",
2020M08,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"109,41",
2020M09,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"109,1",
2020M10,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"109,47",
2020M11,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"109,57",
2020M12,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"109,15",
2021M01,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"110,09",
2021M02,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"110,39",
2021M03,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"110,53",
2021M04,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"111,28",
2021M05,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"111,7",
2021M06,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"111,47",
2021M07,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"111,38",
2021M08,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"111,65",
2021M09,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"111,59",
2021M10,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"111,98",
2021M11,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"112,74",
2021M12,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"113,87",
2022M01,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"115,48",
2022M02,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"116,61",
2022M03,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"118,15",
2022M04,European Union - 27 countries (from 2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"121,23",
2015M01,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"99,86",
2015M02,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,21",
2015M03,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,18",
2015M04,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,47",
2015M05,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,67",
2015M06,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,17",
2015M07,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"99,36",
2015M08,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"99,33",
2015M09,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"99,75",
2015M10,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,13",
2015M11,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,05",
2015M12,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"99,81",
2016M01,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"99,98",
2016M02,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,09",
2016M03,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,23",
2016M04,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,44",
2016M05,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,61",
2016M06,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,36",
2016M07,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,29",
2016M08,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,22",
2016M09,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"99,82",
2016M10,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"99,91",
2016M11,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,35",
2016M12,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,94",
2017M01,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"101,84",
2017M02,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"102,82",
2017M03,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"102,22",
2017M04,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"102,1",
2017M05,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"102,42",
2017M06,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"102,13",
2017M07,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"102,06",
2017M08,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"101,94",
2017M09,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"102,22",
2017M10,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"102,99",
2017M11,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"103,29",
2017M12,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"103,6",
2018M01,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"104,16",
2018M02,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"104,04",
2018M03,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"104,19",
2018M04,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"104,33",
2018M05,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"104,79",
2018M06,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"104,56",
2018M07,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"104,16",
2018M08,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"104,07",
2018M09,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"104,51",
2018M10,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"104,69",
2018M11,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"104,59",
2018M12,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"104,97",
2019M01,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"105,68",
2019M02,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"106,23",
2019M03,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"106,05",
2019M04,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"106,12",
2019M05,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"106,77",
2019M06,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"106,79",
2019M07,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"106,88",
2019M08,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"106,99",
2019M09,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"106,67",
2019M10,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"106,76",
2019M11,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"107,18",
2019M12,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"107,62",
2020M01,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,"108,45",
2020M02,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,:,
2020M03,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,:,
2020M04,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,:,
2020M05,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,:,
2020M06,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,:,
2020M07,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,:,
2020M08,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,:,
2020M09,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,:,
2020M10,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,:,
2020M11,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,:,
2020M12,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,:,
2021M01,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,:,
2021M02,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,:,
2021M03,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,:,
2021M04,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,:,
2021M05,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,:,
2021M06,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,:,
2021M07,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,:,
2021M08,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,:,
2021M09,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,:,
2021M10,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,:,
2021M11,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,:,
2021M12,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,:,
2022M01,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,:,
2022M02,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,:,
2022M03,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,:,
2022M04,European Union - 28 countries (2013-2020),"Index, 2015=100",Harmonised index of consumer prices,Food,:,
2015M01,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"99,46",
2015M02,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"99,89",
2015M03,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"99,83",
2015M04,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,14",
2015M05,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,31",
2015M06,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,19",
2015M07,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"99,46",
2015M08,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"99,61",
2015M09,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,100,
2015M10,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,51",
2015M11,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,45",
2015M12,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,15",
2016M01,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,24",
2016M02,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,26",
2016M03,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,53",
2016M04,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,76",
2016M05,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,101,
2016M06,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,82",
2016M07,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,84",
2016M08,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,81",
2016M09,Euro area - 19 countries  (from 2015),"Index, 2015=100",Harmonised index of consumer prices,Food,"100,4",
